Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C15, C17, C19, C23, C24, C26, C27, C3, C30, C36, C49, C7, C8, C9",0603,17,0.1u,
"C12, C16, C18, C2, C25, C28, C31, C32, C33, C34, C35, C4, C6",0603,13,4.7u,
"C13, C20, C21, C29, C44, C48",0805,6,C2012X5R1V226M125AC,
"C14, C22",0402,2,0.1uf,
"C37, C38",1210,2,CL32A157MQVNNNE,
C39,0805,1,"10u, 16v+",
C40,0805,1,10u,
C41,0805,1,"10u, 50v",
"C42, C43, C46",0603,3,"1u, 50v",
C45,0805,1,"1u, 50v",
C47,0402,1,"4.7p, 50v",
C5,0603,1,0.1u,C1005X5R0J104K050BA
C50,0603,1,680p,
C51,0603,1,1u,
D1,D_SOD-123,1,1N4148WT-7,
D2,LED_Cree-PLCC4_2x2mm_CW,1,CLMVC-FKA-CLBDGL7LBB79353,
D3,0603,1,LTST-C191KGKT,
"FB1, FB2, FB3",0603,3,BLM18HE152SN1D,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"IC1, IC2",Stretched SO12,2,ACFL-3161-000E,C17383873
J1,USB_Micro-B_Molex_47346-0001,1,47589-0001,
J2,PinSocket_2x11_P2.54mm_Vertical_SMD,1,Conn_02x11_Odd_Even,
L1,7447783015,1,7447783015,
"M1, M2, M3, M4",WP-BUFU_7461061,4,7461061,
"Q1, Q2, Q3, Q4",LFPAK88_SOT1235_NEX-M,4,PSMNR55-40SSHJ,
"R1, R21, R22, R25, R26, R7, R8, R9",0603,8,10K,
"R10, R15, R2, R5",1206,4,1,
"R11, R13, R3, R4",0603,4,120R,
"R12, R16",0603,2,2.2K,
R14,0603,1,100,
"R17, R30, R34, R35",0603,4,DNI,
R18,0603,1,121r,
R19,0603,1,365r,
"R20, R24",0603,2,1Meg,
R23,0603,1,330k,
R27,0603,1,45k,
R28,0603,1,20k,
R29,0603,1,47.5k,
"R31, R36",0603,2,0,
"R32, R33",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,2,OPEN,
R6,0603,1,12K,
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,ICE40UP5K-SG48ITR,
U10,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q32JVSS,
U2,QFN-48-1EP_8x8mm_P0.5mm_EP6.2x6.2mm,1,FT232H,
U3,SOT-23-6,1,93LC56BT-I/OT,
U4,VSSOP-8_2.3x2mm_P0.5mm,1,SN74AUP2G125DCUR,
U5,Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm,1,SG-210STF 12.0000ML3,
U6,SOT-23-5,1,AP2127K-3.3,
U7,SOT-23-5,1,AP2127K-1.2,
U8,SOT-223-3_TabPin2,1,LT1117IST-3.3#PBF,
U9,LQFN16_05-08-1798_ADI,1,LT8337JV-1-PBF,
